 ,WHERE,INT,ON,DEFAULT,SET,DELETE,INSERT,AVG,<=,<,ALL,JOIN,",",UNKNOWN,SUM,INTO,IDN,NULL,RIGHT,ORDER,TRUE,NOT,),(,VALUE,!=,FLOAT,>=,*,.,IS,<=>,UPDATE,UNION,FALSE,&&,LEFT,SELECT,FROM,XOR,MAX,=,MIN,OR,AND,HAVING,>,-,GROUP,!,AS,STRING,VALUES,DISTINCT,||,#
fullColumnName, , , , , , , , , , , , , , , , ,fullColumnName->uid dottedId, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
dottedId,dottedId->$, , , , , , , ,dottedId->$,dottedId->$, ,dottedId->$,dottedId->$, , , ,dottedId->$, ,dottedId->$,dottedId->$, , ,dottedId->$, , ,dottedId->$, ,dottedId->$, ,dottedId->. dottedIdOrStar,dottedId->$,dottedId->$, ,dottedId->$, ,dottedId->$,dottedId->$, ,dottedId->$,dottedId->$, ,dottedId->$, ,dottedId->$,dottedId->$,dottedId->$,dottedId->$, ,dottedId->$, ,dottedId->$, , , ,dottedId->$,dottedId->$
dottedIdOrStar, , , , , , , , , , , , , , , , ,dottedIdOrStar->uid, , , , , , , , , , , ,dottedIdOrStar->*, , , , , , , , , , , , , , , , , , , , , , , , , , , 
expressions, ,expressions->expression expressionRec, , , , , ,expressions->expression expressionRec, , , , , , ,expressions->expression expressionRec, ,expressions->expression expressionRec, , , ,expressions->expression expressionRec,expressions->expression expressionRec, , , , ,expressions->expression expressionRec, , , , , , , ,expressions->expression expressionRec, , , , , ,expressions->expression expressionRec, ,expressions->expression expressionRec, , , , ,expressions->expression expressionRec, ,expressions->expression expressionRec, ,expressions->expression expressionRec, , , , 
expressionRec, , , , , , , , , , , , ,"expressionRec->, expression expressionRec", , , , , , ,expressionRec->$, , ,expressionRec->$, , , , , , , , , , ,expressionRec->$, , , , , , , , , , , ,expressionRec->$, , , , , , , , , ,expressionRec->$
expression, ,expression->predicate expressionRight, , , , , ,expression->predicate expressionRight, , , , , , ,expression->predicate expressionRight, ,expression->predicate expressionRight, , , ,expression->predicate expressionRight,expression->opposite expression, , , , ,expression->predicate expressionRight, , , , , , , ,expression->predicate expressionRight, , , , , ,expression->predicate expressionRight, ,expression->predicate expressionRight, , , , ,expression->predicate expressionRight, ,expression->opposite expression, ,expression->predicate expressionRight, , , , 
expressionRight,expressionRight->$, , , , , , , , , , ,expressionRight->$,expressionRight->$, , , , , ,expressionRight->$,expressionRight->$, , ,expressionRight->$, , , , , , , ,expressionRight->IS oppositeOrNot nullOrTrueValue, , ,expressionRight->$, ,expressionRight->logicalOperator expression,expressionRight->$, , ,expressionRight->logicalOperator expression, , , ,expressionRight->logicalOperator expression,expressionRight->logicalOperator expression,expressionRight->$, , ,expressionRight->$, , , , , ,expressionRight->logicalOperator expression,expressionRight->$
opposite, , , , , , , , , , , , , , , , , , , , , ,opposite->NOT, , , , , , , , , , , , , , , , , , , , , , , , , , , ,opposite->!, , , , , , 
oppositeOrNot, , , , , , , , , , , , , ,oppositeOrNot->$, , , ,oppositeOrNot->$, , ,oppositeOrNot->$,oppositeOrNot->NOT, , , , , , , , , , , , ,oppositeOrNot->$, , , , , , , , , , , , , , , , , , , , , 
nullOrTrueValue, , , , , , , , , , , , , ,nullOrTrueValue->trueValue, , , ,nullOrTrueValue->nullValue, , ,nullOrTrueValue->trueValue, , , , , , , , , , , , , ,nullOrTrueValue->trueValue, , , , , , , , , , , , , , , , , , , , , 
